fid,year,Year_kharif,id,cropland_rainfed,cropland_rainfed_herbaceous_cover,cropland_rainfed_tree_or_shrub_cover,cropland_irrigated,mosaic_cropland,mosaic_natural_vegetation,tree_broadleaved_evergreen_closed_to_open,tree_broadleaved_deciduous_closed_to_open,tree_broadleaved_deciduous_closed,tree_broadleaved_deciduous_open,tree_needleleaved_evergreen_closed_to_open,tree_needleleaved_evergreen_closed,tree_needleleaved_evergreen_open,tree_needleleaved_deciduous_closed_to_open,tree_needleleaved_deciduous_closed,tree_needleleaved_deciduous_open,tree_mixed,mosaic_tree_and_shrub,mosaic_herbaceous,shrubland,shrubland_evergreen,shrubland_deciduous,grassland,lichens_and_mosses,sparse_vegetation,sparse_tree,sparse_shrub,sparse_herbaceous,tree_cover_flooded_fresh_or_brakish_water,tree_cover_flooded_saline_water,shrub_or_herbaceous_cover_flooded,urban,bare_areas,bare_areas_consolidated,bare_areas_unconsolidated,water,snow_and_ice,Area_Hec_Rice,Prod_Ton_Rice,Yield_Rice,total_agr_Area_hect,rice_area_pct,LULC_rice_area_sqkm
1,2010,2010 - 2011,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,125767.0,312998.0,4.29,177129.0,1.307192,8.966827397798415
1,2011,2011 - 2012,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,144764.0,366711.0,4.720000000000001,202504.0,1.321838868,9.396029026833467
1,2012,2012 - 2013,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,143544.0,375789.0,4.87,201970.0,1.3394278819999998,9.391015605662059
1,2013,2013 - 2014,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,143297.0,367497.0,4.83,194734.0,1.345675372,9.515519304359875
1,2014,2014 - 2015,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,132024.0,356083.0,4.74,190241.0,1.277808886,9.057243847060542
1,2015,2015 - 2016,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,156575.0,414874.0,4.57,211799.0,1.405463307,10.675290132007305
1,2016,2016 - 2017,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,148589.0,403718.0,5.35,203978.0,1.3372847810000001,9.449109942874935
1,2017,2017 - 2018,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,153509.0,457857.0,5.79,203879.0,1.4131040129999999,10.607737713257002
1,2018,2018 - 2019,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,144863.0,451322.0,6.0600000000000005,196124.0,1.360650773,9.833936753007771
1,2019,2019 - 2020,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,144194.0,468749.0,6.25,199027.0,1.320741187,8.990409786873302
1,2020,2020 - 2021,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,148382.0,473507.0,6.199999999999999,204846.0,1.340403637,9.461883125289035
1,2021,2021 - 2022,2,992,0,0,4514,362,520,0,1832,0,0,0,0,0,40,0,0,0,968,0,330,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,740,0,146864.0,485966.0,6.49,381443.0,0.703108195,5.185407886856607
2,2010,2010 - 2011,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,27442.0,42014.0,1.53,69057.0,0.397381873,5.305351560628822
2,2011,2011 - 2012,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,32987.0,67260.0,2.04,78616.0,0.41959652,5.601934067627747
2,2012,2012 - 2013,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,35344.0,73586.0,2.08,84524.0,0.418153424,5.582667633660999
2,2013,2013 - 2014,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,30842.0,66680.0,2.16,72661.0,0.424464293,5.666922555621353
2,2014,2014 - 2015,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,29426.0,52290.0,1.78,72796.0,0.404225507,5.396719302313085
2,2015,2015 - 2016,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,42653.0,63425.0,1.49,88282.0,0.483144922,6.450353778322925
2,2016,2016 - 2017,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,32582.0,84583.0,2.6,77312.0,0.421435224,5.626482170595531
2,2017,2017 - 2018,1,886,4,0,1017,28,172,0,2345,0,0,0,0,0,41,0,0,0,25,0,323,0,0,25,0,5,0,0,0,0,0,0,0,6,0,0,297,0,38874.0,105698.0,2.72,81159.0,0.478985695,6.394824920680595
