District,year,Year_kharif,Area_Hec_Rice,Prod_Ton_Rice,Yield_Rice,total_agr_Area_hect,rice_area_pct
Agra,2010,2010 - 2011,"4,342.00","9,413.00",2.17,"1,30,466",0.033280701
Agra,2011,2011 - 2012,"6,724.00","16,803.00",2.5,"1,54,325",0.043570387
Agra,2012,2012 - 2013,"3,556.00","8,975.00",2.52,"1,25,489",0.028337145
Agra,2013,2013 - 2014,"8,691.00","22,475.00",2.59,"1,31,795",0.065943321
Agra,2014,2014 - 2015,"10,164.00","24,231.00",2.38,"1,33,468",0.076153085
Agra,2015,2015 - 2016,"9,401.00","22,553.00",2.4,"1,46,986",0.063958472
Agra,2016,2016 - 2017,"4,872.00","13,281.00",2.73,"1,25,719",0.038753092
Agra,2017,2017 - 2018,"5,252.00","13,109.00",2.5,"1,32,357",0.039680561
Agra,2018,2018 - 2019,"5,432.00","13,374.00",2.46,"1,23,499",0.043984162
Agra,2019,2019 - 2020,"5,296.00","13,642.00",2.58,"1,27,721",0.041465382
Agra,2020,2020 - 2021,"5,962.00","16,223.00",2.72,"1,25,234",0.04760688
Agra,2021,2021 - 2022,"4,909.00","12,572.00",2.56,"2,46,486",0.019915938
Aligarh,2010,2010 - 2011,"64,485.00","1,31,614.00",2.04,"2,02,875",0.317855823
Aligarh,2011,2011 - 2012,"70,307.00","1,54,394.00",2.2,"1,97,314",0.356320383
Aligarh,2012,2012 - 2013,"85,311.00","2,09,609.00",2.46,"2,14,373",0.397955899
Aligarh,2013,2013 - 2014,"87,525.00","1,96,144.00",2.24,"2,02,854",0.431467952
Aligarh,2014,2014 - 2015,"90,420.00","2,01,998.00",2.23,"2,05,470",0.440064243
Aligarh,2015,2015 - 2016,"87,723.00","2,05,798.00",2.35,"2,07,556",0.422647382
Aligarh,2016,2016 - 2017,"79,388.00","2,01,328.00",2.54,"2,11,567",0.375238104
Aligarh,2017,2017 - 2018,"83,454.00","2,22,906.00",2.67,"2,04,853",0.407384808
Aligarh,2018,2018 - 2019,"95,680.00","2,30,780.00",2.41,"2,14,076",0.446944076
Aligarh,2019,2019 - 2020,"91,823.00","2,39,658.00",2.61,"2,08,607",0.44017219
Aligarh,2020,2020 - 2021,"83,341.00","2,19,354.00",2.63,"2,05,246",0.406054198
Aligarh,2021,2021 - 2022,"87,759.00","2,18,871.00",2.49,"3,84,214",0.228411771
Allahabad,2010,2010 - 2011,"1,41,316.00","3,28,560.00",2.33,"1,89,498",0.745738741
Allahabad,2011,2011 - 2012,"1,55,232.00","3,97,083.00",2.56,"2,05,983",0.75361559
Allahabad,2012,2012 - 2013,"1,48,937.00","4,27,300.00",2.87,"2,00,946",0.741179222
Allahabad,2013,2013 - 2014,"1,59,525.00","4,20,986.00",2.64,"2,10,035",0.759516271
Allahabad,2014,2014 - 2015,"1,49,419.00","3,13,780.00",2.1,"1,98,345",0.753328796
Allahabad,2015,2015 - 2016,"1,46,462.00","2,68,465.00",1.83,"1,97,880",0.74015565
Allahabad,2016,2016 - 2017,"1,66,477.00","4,59,976.00",2.76,"2,13,433",0.779996533
Allahabad,2017,2017 - 2018,"1,67,118.00","4,58,572.00",2.74,"2,07,666",0.804744156
Allahabad,2018,2018 - 2019,"1,54,505.00","4,82,056.00",3.12,"1,98,054",0.780115524
Allahabad,2019,2019 - 2020,"1,54,773.00","4,83,047.00",3.12,"2,04,699",0.756100421
Allahabad,2020,2020 - 2021,"1,57,847.00","4,96,271.00",3.14,"2,05,090",0.769647472
Allahabad,2021,2021 - 2022,"1,55,439.00","4,63,208.00",2.98,"3,94,421",0.394094128
Ambedkar Nagar,2010,2010 - 2011,"1,13,002.00","2,98,099.00",2.64,"1,28,102",0.882125181
Ambedkar Nagar,2011,2011 - 2012,"1,16,323.00","3,13,374.00",2.69,"1,31,533",0.88436362
Ambedkar Nagar,2012,2012 - 2013,"1,15,800.00","3,19,492.00",2.76,"1,32,207",0.875899158
Ambedkar Nagar,2013,2013 - 2014,"1,15,279.00","3,14,251.00",2.73,"1,30,155",0.885705505
Ambedkar Nagar,2014,2014 - 2015,"1,18,607.00","2,90,706.00",2.45,"1,34,479",0.881974137
Ambedkar Nagar,2015,2015 - 2016,"1,12,181.00","2,36,814.00",2.11,"1,25,250",0.895656687
Ambedkar Nagar,2016,2016 - 2017,"1,16,358.00","2,96,015.00",2.54,"1,31,985",0.881600182
Ambedkar Nagar,2017,2017 - 2018,"1,18,326.00","3,79,590.00",3.21,"1,34,320",0.880926147
Ambedkar Nagar,2018,2018 - 2019,"1,18,618.00","3,59,175.00",3.03,"1,34,875",0.879466172
Ambedkar Nagar,2019,2019 - 2020,"1,14,525.00","3,52,050.00",3.07,"1,29,483",0.884479044
Ambedkar Nagar,2020,2020 - 2021,"1,15,918.00","3,50,884.00",3.03,"1,52,882",0.758218757
Ambedkar Nagar,2021,2021 - 2022,"1,17,615.00","3,23,206.00",2.75,"2,69,981",0.435641767
Amethi,2010,2010 - 2011,"1,13,314.00","2,36,940.00",2.09,"1,24,975",0.906693339
Amethi,2011,2011 - 2012,"1,22,203.00","2,72,146.00",2.23,"1,41,098",0.866085983
Amethi,2012,2012 - 2013,"1,18,227.00","3,08,454.00",2.61,"1,34,979",0.875891805
Amethi,2013,2013 - 2014,"1,23,251.00","2,80,396.00",2.27,"1,38,769",0.888173872
Amethi,2014,2014 - 2015,"97,395.00","1,47,846.00",1.52,"1,10,210",0.883721985
Amethi,2015,2015 - 2016,"92,511.00","1,81,969.00",1.97,"1,05,836",0.874097661
Amethi,2016,2016 - 2017,"1,16,456.00","2,71,110.00",2.33,"1,32,412",0.879497327
Amethi,2017,2017 - 2018,"1,13,979.00","2,77,083.00",2.43,"1,31,315",0.867981571
Amethi,2018,2018 - 2019,"1,21,428.00","3,35,384.00",2.76,"1,38,522",0.876597219
Amethi,2019,2019 - 2020,"1,18,349.00","3,23,685.00",2.74,"1,35,406",0.874030693
Amethi,2020,2020 - 2021,"1,19,311.00","3,18,202.00",2.67,"1,34,300",0.88839166
Amethi,2021,2021 - 2022,"1,19,568.00","2,88,039.00",2.41,"2,63,915",0.453054961
Auraiya,2010,2010 - 2011,"37,124.00","99,641.00",2.68,"89,406",0.415229403
Auraiya,2011,2011 - 2012,"50,179.00","1,45,519.00",2.9,"90,641",0.553601571
Auraiya,2012,2012 - 2013,"52,566.00","1,64,321.00",3.13,"99,784",0.526797883
Auraiya,2013,2013 - 2014,"53,582.00","1,76,070.00",3.29,"95,904",0.558704538
Auraiya,2014,2014 - 2015,"55,752.00","1,75,898.00",3.16,"1,07,257",0.519798242
Auraiya,2015,2015 - 2016,"53,479.00","1,50,811.00",2.82,"97,850",0.546540623
Auraiya,2016,2016 - 2017,"52,248.00","1,59,670.00",3.06,"1,00,146",0.521718291
Auraiya,2017,2017 - 2018,"49,897.00","1,48,094.00",2.97,"96,550",0.516799586
Auraiya,2018,2018 - 2019,"49,084.00","1,51,522.00",3.09,"95,756",0.512594511
Auraiya,2019,2019 - 2020,"47,087.00","1,64,899.00",3.5,"95,463",0.493248693
Auraiya,2020,2020 - 2021,"30,680.00","1,11,092.00",3.62,"83,791",0.366149109
Auraiya,2021,2021 - 2022,"49,320.00","1,67,885.00",3.4,"1,93,213",0.255262327
Azamgarh,2010,2010 - 2011,"2,03,577.00","4,17,536.00",2.05,"2,38,843",0.852346521
Azamgarh,2011,2011 - 2012,"2,10,944.00","4,69,350.00",2.22,"2,50,949",0.840585139
Azamgarh,2012,2012 - 2013,"2,10,961.00","4,53,777.00",2.15,"2,46,459",0.85596793
Azamgarh,2013,2013 - 2014,"2,17,062.00","4,77,971.00",2.2,"2,52,199",0.860677481
Azamgarh,2014,2014 - 2015,"2,02,341.00","4,00,028.00",1.98,"2,37,961",0.850311606
Azamgarh,2015,2015 - 2016,"2,07,312.00","4,08,405.00",1.97,"2,41,928",0.856916107
Azamgarh,2016,2016 - 2017,"2,10,850.00","4,74,202.00",2.25,"2,45,159",0.860054087
Azamgarh,2017,2017 - 2018,"2,16,041.00","5,12,233.00",2.37,"2,45,680",0.879359329
Azamgarh,2018,2018 - 2019,"2,13,970.00","5,25,724.00",2.46,"2,47,555",0.864333178
Azamgarh,2019,2019 - 2020,"2,12,211.00","5,25,647.00",2.48,"2,51,813",0.842732504
Azamgarh,2020,2020 - 2021,"2,12,305.00","5,12,292.00",2.41,"2,39,794",0.885364104
Azamgarh,2021,2021 - 2022,"2,12,579.00","5,08,064.00",2.39,"4,58,940",0.463195625
Baghpat,2010,2010 - 2011,"4,575.00","10,756.00",2.35,"79,564",0.05750088
Baghpat,2011,2011 - 2012,"5,108.00","14,292.00",2.8,"80,417",0.063518908
Baghpat,2012,2012 - 2013,"5,088.00","15,483.00",3.04,"80,411",0.063274925
Baghpat,2013,2013 - 2014,"7,931.00","24,126.00",3.04,"81,977",0.096746648
Baghpat,2014,2014 - 2015,"5,792.00","14,515.00",2.51,"84,400",0.068625592
Baghpat,2015,2015 - 2016,"6,362.00","17,470.00",2.75,"81,068",0.078477328
Baghpat,2016,2016 - 2017,"5,375.00","13,927.00",2.59,"81,720",0.065773372
Baghpat,2017,2017 - 2018,"4,223.00","11,770.00",2.79,"82,074",0.051453566
Baghpat,2018,2018 - 2019,"5,866.00","16,736.00",2.85,"81,621",0.071868759
Baghpat,2019,2019 - 2020,"9,586.00","29,506.00",3.08,"86,091",0.111347295
Baghpat,2020,2020 - 2021,"5,443.00","16,236.00",2.98,"60,356",0.090181589
Baghpat,2021,2021 - 2022,"4,847.00","13,998.00",2.89,"69,800",0.069441261
Bahraich,2010,2010 - 2011,"1,59,111.00","3,29,519.00",2.07,"2,67,196",0.595484214
Bahraich,2011,2011 - 2012,"1,59,686.00","3,52,427.00",2.21,"2,67,798",0.596292728
