distname,fid_hex,area_sqkm
Chandauli,"1","10"
Sonbhadra,"1","435"
Sonbhadra,"2","447"
Sonbhadra,"3","448"
Sonbhadra,"4","260"
Sant Kabir Nagar,"5","47"
Gorakhpur,"5","227"
Mahrajganj,"5","154"
Sant Kabir Nagar,"6","55"
Gorakhpur,"6","374"
Baghpat,"7","226"
Ghaziabad,"8","101"
Baghpat,"8","9"
Sant Kabir Nagar,"9","4"
Gorakhpur,"9","427"
Gautam Buddha Nagar,"10","16"
Sant Kabir Nagar,"11","16"
Gorakhpur,"11","369"
Azamgarh,"11","46"
Gorakhpur,"12","0"
Azamgarh,"12","433"
Azamgarh,"13","432"
Mau,"13","3"
Azamgarh,"14","388"
Ghazipur,"14","33"
Mau,"14","16"
Mathura,"15","21"
Azamgarh,"16","60"
Ghazipur,"16","378"
Mathura,"17","0"
Saharanpur,"18","4"
Saharanpur,"19","193"
Saharanpur,"20","253"
Samli,"20","93"
Samli,"21","393"
Siddharthnagar,"22","100"
Samli,"23","281"
Baghpat,"23","70"
Siddharthnagar,"24","163"
Mahrajganj,"24","255"
Baghpat,"25","345"
Deoria,"26","137"
Mau,"26","121"
Ballia,"26","176"
Mathura,"27","182"
Aligarh,"27","239"
Mau,"28","88"
Ballia,"28","348"
Mathura,"29","292"
Aligarh,"29","131"
Ghazipur,"30","326"
Ballia,"30","111"
Mathura,"31","422"
Mahamaya Nagar,"31","3"
Ghazipur,"32","374"
Ballia,"32","2"
Agra,"33","220"
Mathura,"33","207"
Ghazipur,"34","35"
Agra,"35","411"
Agra,"36","85"
Muzaffarnagar,"37","409"
Muzaffarnagar,"38","269"
Meerut,"38","141"
Mahrajganj,"39","207"
Kushinagar,"39","22"
Mahrajganj,"40","152"
Kushinagar,"40","275"
Meerut,"41","412"
Ghaziabad,"42","25"
Hapur,"42","91"
Meerut,"42","298"
Mahrajganj,"43","18"
Kushinagar,"43","411"
Hapur,"44","296"
Meerut,"44","0"
Bulandshahr,"44","119"
Kushinagar,"45","306"
Deoria,"45","124"
Deoria,"46","428"
Bulandshahr,"47","417"
Deoria,"48","433"
Aligarh,"49","5"
Bulandshahr,"49","413"
Aligarh,"50","386"
Bulandshahr,"50","34"
Saharanpur,"51","375"
Saharanpur,"52","160"
Saharanpur,"53","112"
Muzaffarnagar,"54","247"
Saharanpur,"54","120"
Ghazipur,"55","277"
Mau,"55","154"
Ballia,"55","6"
Mathura,"56","422"
Ghazipur,"57","438"
Mathura,"58","424"
Ghazipur,"59","419"
Mathura,"60","313"
Chandauli,"61","0"
Ghazipur,"61","18"
Agra,"62","191"
Mathura,"62","5"
Agra,"63","211"
Agra,"64","44"
Sonbhadra,"65","12"
Mahrajganj,"66","210"
Muzaffarnagar,"67","396"
Meerut,"67","14"
Mahrajganj,"68","426"
Muzaffarnagar,"69","10"
Meerut,"69","402"
Baghpat,"69","0"
Mahrajganj,"70","422"
Kushinagar,"70","6"
Ghaziabad,"71","73"
Meerut,"71","340"
Gorakhpur,"72","54"
Mahrajganj,"72","34"
Kushinagar,"72","341"
Ghaziabad,"73","309"
Hapur,"73","95"
Meerut,"73","11"
Gorakhpur,"74","197"
Kushinagar,"74","83"
Deoria,"74","151"
Ghaziabad,"75","5"
Hapur,"75","92"
Gautam Buddha Nagar,"75","285"
Bulandshahr,"75","34"
Gorakhpur,"76","42"
Deoria,"76","390"
Gautam Buddha Nagar,"77","261"
Bulandshahr,"77","149"
Gorakhpur,"78","115"
Deoria,"78","109"
Mau,"78","209"
Gautam Buddha Nagar,"79","267"
Aligarh,"79","71"
Bulandshahr,"79","49"
Mau,"80","377"
Ballia,"80","58"
Mathura,"81","168"
Aligarh,"81","213"
Saharanpur,"82","276"
Saharanpur,"83","404"
Saharanpur,"84","405"
Muzaffarnagar,"85","2"
Saharanpur,"85","405"
Muzaffarnagar,"86","383"
Saharanpur,"86","26"
Sonbhadra,"87","42"
Kushinagar,"88","65"
Deoria,"89","91"
Bulandshahr,"90","418"
Deoria,"91","1"
Aligarh,"92","286"
Bulandshahr,"92","134"
Mahamaya Nagar,"93","16"
Aligarh,"93","405"
Ballia,"94","317"
Mahamaya Nagar,"95","387"
Aligarh,"95","36"
Ballia,"96","361"
Agra,"97","58"
Etah,"97","132"
Mahamaya Nagar,"97","235"
